"AKTENUMMER","DATUM","PERCEELSNUMMER","AantVanQuery2"
"BD4  5473000006","20080528","HDN02G 01302G0000",0
"EH4  5516600035","20080801","HRN02E 04550D0001",0
"EH4  5520500164","20080806","OSS00H 00054D0001",0
"EH4  5520500164","20080806","OSS00H 00469D0001",0
"EH4  5520500165","20080806","OSS00H 00555D0001",0
"EH4  5547600041","20080923","BMR00S 00016G0000",0
"EH4  5557100139","20081007","NTR00C 03869D0001",0
"EH4  5613400184","20090116","ZLD02K 00890D0001",0
"EH4  5613400184","20090116","ZLD02K 00891D0001",0
"EH4  5614800081","20090119","OSS00T 00015D0001",0
"EH4  5616100046","20090121","BHM00B 04413D0001",0
"EH4  5616100046","20090121","BHM00B 04669D0001",0
"EH4  5644600025","20090330","ZLD02K 00254D0003",0
"EH4  5644600025","20090330","ZLD02K 00370D0001",0
"EH4  5644600025","20090330","ZLD02K 00680G0000",0
"EH4  5644600025","20090330","ZLD02K 00682D0003",0
"EH4  5644600025","20090330","ZLD02K 00778D0001",0
"EH4  5644600025","20090330","ZLD02K 00779D0001",0
"EH4  5644600026","20090330","SCH03B 01917D0001",0
"EH4  5644600026","20090330","SCH03B 01918D0001",0
"EH4  5644600044","20090331","SCH03L 00572D0001",0
"EH4  5657400195","20090429","ALM00A 01344D0003",0
"EH4  5754300044","20091202","GFN00D 00424D0001",0
"EH4  5754300044","20091202","GFN00D 01078D0001",0
"EH4  5774500136","20100108","HWK02C 03378D0001",0
"BD4  5795100013","20100226","DNN00D 03007D0001",0
"BD4  5795100013","20100226","DNN00D 03008D0001",0
"EH4  5809000131","20100331","OSS00T 00016D0001",0
"EH4  5809900049","20100401","HTG00R 03154D0001",0
"EH4  5809900136","20100401","BHM00C 01364D0001",0
"EH4  5839700064","20100607","BKL05D 03077D0001",0
"EH4  5839700064","20100607","BKL05D 03292D0001",0
"EH4  5889900168","20101001","OSS00P 00100D0001",0
"EH4  5933100053","20101229","GFN00D 00577D0001",0
"EH4  5933100053","20101229","NLD03E 00905D0001",0
"EH4  5944500179","20110121","CUI00A 02584D0001",0
"EH4  5944500179","20110121","CUI00A 02585D0001",0
"EH4  5944500179","20110121","CUI00A 02585D0003",0
"EH4  6004100192","20110603","VHL00N 01315D0001",0
"EH4  6004100192","20110603","VHL00N 01315D0003",0
"EH4  6022400168","20110715","CUI00H 00332D0001",0
"EH4  6059700042","20111013","OLO00E 00475D0001",0
"EH4  6071000044","20111107","MIL00R 00793D0001",0
"EH4  6071000044","20111107","MIL00R 01127D0001",0
"EH4  6071000044","20111107","MIL00R 01124D0001",0
"EH4  6072500063","20111111","VLB00L 00232D0001",0
"EH4  6072500063","20111111","VLB00L 00345D0001",0
"EH4  6077800181","20111128","BMR00U 00205D0001",0
"EH4  6097800011","20111230","HTG00U 01255D0001",0
